"route_id","lon","lat","split","wc2.1_10m_bio_2","wc2.1_10m_bio_3","wc2.1_10m_bio_5","wc2.1_10m_bio_8","wc2.1_10m_bio_9","wc2.1_10m_bio_13","wc2.1_10m_bio_15","wc2.1_10m_bio_18","y"
"6341076",-87.2090516,31.7399574,"evaluation_excluded",13.3870620727539,43.1173095703125,33.0752487182617,10.7946662902832,18.691291809082,170,22.0190677642822,363,0
"6341077",-87.1203132,31.3180673,"evaluation_excluded",13.4472703933716,44.4990234375,32.8279991149902,11.3401250839233,19.0521659851074,176,19.2861976623535,446,0
"6341079",-87.1007539,33.1156047,"training",13.0278749465942,40.3277359008789,32.6037483215332,8.91683292388916,22.0652503967285,164,19.2335453033447,349,0
"6341080",-87.7621469,34.1311637,"training",13.5380630493164,40.0765609741211,32.2097511291504,15.3010416030884,21.1094589233398,168,19.4822425842285,320,0
"6341081",-86.4773569,34.3142387,"training",13.0277709960938,39.184211730957,31.7617492675781,7.10616636276245,20.8998336791992,164,19.8450679779053,308,0
"6341082",-87.8205274,33.1379607,"training",12.9997291564941,39.8538513183594,32.8842506408691,9.05475044250488,22.3251667022705,162,18.7750606536865,332,0
"6341083",-88.1229309,32.6807827,"training",13.3386669158936,40.7720146179199,33.2685012817383,9.59833335876465,22.7007923126221,161,20.6802310943604,310,0
"6341085",-86.7118894,32.3276808,"evaluation_excluded",12.7916669845581,41.3124160766602,33.1665000915527,10.693208694458,23.1565418243408,167,21.912410736084,324,0
"6341086",-85.7164607,32.5816871,"evaluation_excluded",13.0403747558594,41.5954284667969,32.7237510681152,9.94525051116943,22.6790409088135,172,22.6685466766357,345,0
"6341087",-88.38516,31.2926075,"evaluation_excluded",13.8637084960938,44.6906471252441,33.3102493286133,11.3355836868286,18.9678325653076,171,17.7435493469238,414,0
"6341088",-87.7767179,31.7097587,"evaluation_excluded",13.830228805542,43.8498077392578,33.1162490844727,10.6602916717529,22.9547080993652,181,21.9562358856201,374,0
